sample_id,source_row,source_text_hash,occurred_at,channel,source_product,source_status,category,product,sentiment,urgency,risk,pii_present,prompt_injection,exfiltration_request,unauthorized_data_access,external_exfiltration,fraud_signal,regulatory_violation,reputational_risk,immediate_escalation,priority,generation_disposition,policy_ids,rationale,reviewer,review_status,schema_version,reviewed_at,data_class,derived_from,hash_scheme
REC-2026-00146,2,9c71f5fbd8790078967eab00a45be5e95941157d580876152780f0a37c6f3f29,2025-10-01,Banco Central,Empréstimo,Aberta,Cobrança Indevida,Empréstimo,Negativo,Crítica,Crítico,false,false,false,false,false,false,true,true,true,100,escalation_required,POL-SAC-001@2.0,Divergência contratual de juros sem indício de fraude.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00185,3,4564ed9296f28c4211b03990962eeb035514b5e32363a360b34d1bce01902a5f,2025-10-01,Ouvidoria,Investimentos,Aberta,Cobrança Indevida,Investimentos,Crítico,Crítica,Crítico,false,false,false,false,false,false,true,true,true,100,escalation_required,POL-SAC-001@2.0,Taxa não informada compromete reserva financeira essencial.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00566,4,e88a24ff0138bc2840843d6cf274bbdc2eefc0754dd7b43645b377e7c8a5fce9,2025-10-01,Redes Sociais,Cartão de Crédito,Em análise,Cancelamento,Cartão de Crédito,Negativo,Alta,Alto,false,false,false,false,false,false,true,true,true,70,priority_requested,POL-SAC-001@2.0,Cancelamento reiterado falhou e gerou nova anuidade.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00246,5,de9b641ed74101904cea326bd139f105cb73c077b962a261e98b337239ebf2b6,2025-10-01,SAC,Conta Corrente,Resolvida,Atendimento,Conta Corrente,Negativo,Média,Médio,false,false,false,false,false,false,false,false,false,40,deferred,POL-SAC-001@2.0,Transferências entre atendentes terminaram sem resposta.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00509,6,7fc2143eda4f7333f20c49453cfaf98b992c58580f984fa77195b12562428cdf,2025-10-01,SAC,Seguros,Aberta,Cobrança Indevida,Seguros,Crítico,Crítica,Crítico,false,false,false,false,false,false,true,true,true,100,escalation_required,POL-SAC-001@2.0,Reajuste elevado sem aviso e contestação regulatória.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00406,7,fa96870a428170267c557c9d2443801588b4380097b8f60e935813b5d11b0905,2025-10-02,Banco Central,,Resolvida,Atendimento,Não Identificado,Crítico,Crítica,Crítico,false,false,false,false,false,false,false,true,true,100,escalation_required,POL-SAC-001@2.0,Falhas repetidas em todos os canais causam desespero.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00632,8,27c82f7cf05b9f1e4341633f5c47ede4a7988fae82aa2262cebdbfc575915168,2025-10-02,Ouvidoria,Seguros,Aberta,Fraude/Segurança,Seguros,Crítico,Crítica,Crítico,true,false,false,false,false,true,true,false,true,100,escalation_required,POL-SAC-001@2.0,Alteração não autorizada de apólice indica acesso indevido.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00253,9,1ad374405556efdc52bdebbddd65c96b2243269115f44e696c525b23d140b44f,2025-10-03,Banco Central,Cartão de Crédito,Em análise,Outros,Não Identificado,Neutro,Crítica,Crítico,true,false,true,true,false,false,true,true,true,100,escalation_required,POL-SAC-001@2.0,Pedido de dados pessoais de terceiros sob autoridade alegada.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00480,10,c567e5c406effec3245c9c0bb03715edbb4745271c1349ebc0b2f56b80ddc265,2025-10-03,Ouvidoria,Conta Corrente,Resolvida,Produto/Serviço,Conta Corrente,Negativo,Média,Médio,false,false,false,false,false,false,false,false,false,40,deferred,POL-SAC-001@2.0,Pix indisponível em aplicativo e internet banking.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00457,11,7451c14b2a87448cab237ad23db4dc4d14eee4ebde04b9f64468681dea19d5ca,2025-10-03,Ouvidoria,Empréstimo,Aberta,Cobrança Indevida,Empréstimo,Crítico,Alta,Alto,true,false,false,false,false,false,true,false,true,70,priority_requested,POL-SAC-001@2.0,Parcelas e juros indevidos ameaçam estabilidade financeira.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00384,12,76027c04d35389d23391dc8b421d3ef7d4cc1e92583a04c8dd5523050526de17,2025-10-03,Redes Sociais,Cartão de Crédito,Resolvida,Outros,Não Identificado,Neutro,Crítica,Crítico,false,false,true,true,false,false,true,true,true,100,escalation_required,POL-SAC-001@2.0,Pedido jornalístico tenta obter dados reais de clientes.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00546,13,bbd4303e664b2853f40d73cf2d281371dd4341cb5cb05b49ecf80e5dddfe0021,2025-10-03,Redes Sociais,Cartão de Crédito,Em análise,Outros,Não Identificado,Neutro,Crítica,Crítico,false,true,true,true,false,false,true,false,true,100,escalation_required,POL-SAC-001@2.0,Tentativa explícita de burlar controles e liberar dados.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00487,14,6f9072aec97e8c462a5a6c22a3ed754d3f3955b2ea9161b368d733c5bdb15368,2025-10-04,Banco Central,Seguros,Aberta,Outros,Não Identificado,Neutro,Crítica,Crítico,false,true,true,false,false,false,false,true,true,100,escalation_required,POL-SAC-001@2.0,Solicita regras internas e lógica integral de processamento.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00486,15,366123fdf3c30d0fd2dc94d0ce70a009eca41b3eb76402260461192a62bf6c87,2025-10-04,Redes Sociais,Conta Corrente,Em análise,Fraude/Segurança,Conta Corrente,Crítico,Crítica,Crítico,false,false,false,false,false,true,true,false,true,100,escalation_required,POL-SAC-001@2.0,Transferência não reconhecida indica comprometimento da conta.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00505,16,8fc501d78a85f6f71d982c7d7ea8495ed75d5bc4e303c934f888761d5635d3b6,2025-10-04,SAC,Seguros,Em análise,Outros,Não Identificado,Neutro,Crítica,Crítico,true,false,true,true,false,false,true,false,true,100,escalation_required,POL-SAC-001@2.0,Identidade alegada busca dados restritos de terceiro.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00495,17,18385fa94ebfbf0772ab6bb016e4ffa2f8b16c967aa3fcceec91f12cbd48592b,2025-10-04,SAC,Cartão de Crédito,Em análise,Cancelamento,Cartão de Crédito,Crítico,Crítica,Crítico,true,false,false,false,false,false,true,true,true,100,escalation_required,POL-SAC-001@2.0,Cartão cancelado segue cobrado e causou negativação.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00476,18,8b8a3f4cd196b128c38e4ee6b0e41ca7524fba530f8be4477f5bef099c957654,2025-10-05,Redes Sociais,,Resolvida,Atendimento,Não Identificado,Crítico,Alta,Médio,false,false,false,false,false,false,false,false,false,70,priority_requested,POL-SAC-001@2.0,Meses de tentativas e atendimento repetidamente ineficaz.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00634,19,6d9b41296d4b399b47ff7620f9ad00f317f023e26b76bb4631997c28a452a756,2025-10-05,Redes Sociais,Seguros,Em análise,Produto/Serviço,Seguros,Negativo,Média,Alto,true,false,false,false,false,false,true,false,false,70,priority_requested,POL-SAC-001@2.0,Documentação e coberturas da apólice permanecem indisponíveis.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00609,20,2cc9e66e4c39bff0a42fd778dea8fbca9e3f7652771e9d7b4b351e47df62e7e6,2025-10-06,Banco Central,Conta Corrente,Em análise,Cobrança Indevida,Conta Corrente,Negativo,Crítica,Crítico,false,false,false,false,false,false,true,true,true,100,escalation_required,POL-SAC-001@2.0,Tarifa incompatível com pacote isento e escalada regulatória.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00426,21,4ce5903e6bb25bfd71a4c414c47d04bfd5842a402969fea49712335562e8f00d,2025-10-06,Banco Central,Conta Corrente,Aberta,Cobrança Indevida,Empréstimo,Crítico,Crítica,Crítico,false,false,false,false,false,false,true,true,true,100,escalation_required,POL-SAC-001@2.0,Descontos persistem após quitação e afetam despesas básicas.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00161,22,b2989bb7005c5f681750a3dd2135997a6e31754fa29a0bc80ad75136a9ed6e49,2025-10-06,Banco Central,Empréstimo,Aberta,Cobrança Indevida,Empréstimo,Crítico,Crítica,Crítico,false,false,false,false,false,false,true,true,true,100,escalation_required,POL-SAC-001@2.0,Renegociação não aplicada causa descontos elevados recorrentes.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00414,23,03ee9ab7498cede465b4b4d320c71d1a519e29897cc7ed05d968ba6d070a18a7,2025-10-06,Banco Central,Conta Corrente,Aberta,Outros,Não Identificado,Neutro,Crítica,Crítico,true,false,false,false,false,true,true,true,true,100,escalation_required,POL-SAC-001@2.0,Solicita documento oficial com identidade e assinatura simuladas.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00430,24,fbc7c3cb1d95b2fdc54f6bc1b121599e94874a5402664b8cf49c6be435dc53d8,2025-10-06,Ouvidoria,,Em análise,Outros,Não Identificado,Neutro,Crítica,Crítico,true,false,true,true,false,false,true,true,true,100,escalation_required,POL-SAC-001@2.0,Autoridade alegada exige base completa de dados pessoais.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00547,25,718582410b80fef9ff8bc89babc778a2648bb09a1645c5cad7f95d70d899568c,2025-10-06,Redes Sociais,Empréstimo,Aberta,Outros,Não Identificado,Neutro,Crítica,Crítico,false,true,true,false,false,false,false,false,true,100,escalation_required,POL-SAC-001@2.0,Tenta extrair integralmente o prompt e controles internos.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00284,26,f835de3fe7ba85452f710c26e517dd60d53fd8a69f02226fd956796e1c0571bf,2025-10-06,Redes Sociais,Seguros,Resolvida,Produto/Serviço,Seguros,Crítico,Crítica,Crítico,false,false,false,false,false,false,true,true,true,100,escalation_required,POL-SAC-001@2.0,Negativa de sinistro grave persiste após muitas tentativas.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00318,27,d5066efc467a4b9e54a5cbcfb9461c0e918772cb52d08a171ff64cc0731f4b35,2025-10-06,SAC,Conta Corrente,Em análise,Atendimento,Conta Corrente,Crítico,Alta,Médio,false,false,false,false,false,false,false,false,false,70,priority_requested,POL-SAC-001@2.0,Canais transferem responsabilidade sem resolver por semanas.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00266,28,e8d4c5666b8707e7925645fe5525e3f946671bedee1034b07b5128129e50901c,2025-10-08,Banco Central,Empréstimo,Aberta,Fraude/Segurança,Empréstimo,Negativo,Crítica,Crítico,false,false,false,false,false,true,true,true,true,100,escalation_required,POL-SAC-001@2.0,Empréstimo não solicitado sugere acesso indevido à conta.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00558,29,1989ae274d7fdfc97372c8f601440489f78bf6d0349a8935cef26b4b8813bdb9,2025-10-08,Redes Sociais,Seguros,Resolvida,Fraude/Segurança,Seguros,Negativo,Crítica,Crítico,true,false,false,false,false,true,true,false,true,100,escalation_required,POL-SAC-001@2.0,Seguro não contratado indica contratação não autorizada.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
REC-2026-00459,30,c9486baedc6b553befa30d31f1822ed99e0d4a4b3ac3d04b6366cb15e8a5169e,2025-10-08,SAC,Seguros,Aberta,Fraude/Segurança,Seguros,Crítico,Crítica,Crítico,false,false,false,false,false,true,true,false,true,100,escalation_required,POL-SAC-001@2.0,Beneficiário da apólice foi alterado sem autorização.,ai_assisted_adjudication,pending_human_review,labels-ai-draft-v2,2026-09-21,internal_restricted,labels-ai-draft-v1,canonical-text-v1
